name,par,rating,slope,tees
Angus Glen,72,71.1,131,Blue
Bay of Quite,72,72,130,Gold
Beacon Hall,72,72.5,144,Blue
Black Bear Ridge,72,71.9,128,Blue
Bond Head (North),72,68.7,131,Blue
Bond Head (South),72,71.9,132,Blue
BraeBen,72,70.3,124,Blue
Burlington Springs,72,69.1,112,White
Cardinal (Redcrest),72,70.7,132,Blue
Cardinal (West),72,69,113,White
Carlisle E/N,72,68.4,123,Blue
Carlisle E/S,72,69.2,123,Blue
Carlisle N/S,72,70.4,131,Blue
Copetown Woods,72,69.6,119,White
Crosswinds,72,72.5,133,Blue
Crowbush,72,75.3,150,Blue
Deer Creek,72,69.5,130,Blue
Deerhurst,72,72.4,132,Blue
Don Valley,72,70,124,Blue
Donalda,72,70.5,137,Blue
Dundarave,72,71,132,Blue
Eagle Ridge,72,68.6,120,White
Eagles Nest,72,72,132,Blue
Founders Club,72,69.7,129,White
Fox Creek,72,70.4,133,White
Glen Abbey,72,70.2,127,Blue
Glen Abbey,72,72.6,138,Gold
Glen Lawrence,72,69,122,White
Glencairn,72,71.5,129,Blue
Glenway,70,67.6,119,White
Gormley Creek,72,71.3,124,Blue
Greystone,72,72.3,137,Blue
Hamilton G&CC,72,71.9,133,Blue
Huntsville Downs,72,68.5,125,White
Indian Wells,72,71.8,126,Blue
Kingswood,72,71,119,White
Klein G/R,72,70.9,126,Blue
Klein G/W,72,71,128,Blue
Klein W/R,72,70.1,127,Blue
Lakeridge,72,70,122,Blue
Lakeview,72,69,119,White
Lionhead (Legends),72,72.5,148,Blue
Lionhead (Masters),72,72,139,Blue
Lowville,71,68.6,121,White
Loyalist,72,70,129,Blue
Maples of Ballantrae,72,71.6,136,Blue
Mark O'Meara,72,71.9,140,Blue
Memramcook,72,67.7,121,White
Millcroft,70,66.9,120,White
National Pines,72,72.6,137,Blue
Nobleton Lakes,72,67.4,126,Blue
Northumberland (Pugwash),72,71.2,127,White
Oshawa,72,71.7,132,Blue
Osprey (Heathlands),72,70.6,135,Blue
Pine Needles (Pine),71,68.1,117,White
Pine Needles (River),72,70.5,129,White
Piper's Heath,72,72,127,Blue
Rattlesnake (Sidewinder),72,72.1,130,Blue
RiverBend,72,70.8,125,Blue
Royal Oaks,72,71.6,136,White
Royal Ontario,72,73.4,142,Gold
Royal Ontario,72,71.5,136,Blue
Royal Woodbine,72,71.4,136,Blue
Saugeen (Sunrise/Sunset),72,68.4,124,White
Saw-Whet,72,70.6,118,Blue
Sawmill Creek,71,68,118,White
Scarboro,72,71.8,135,Blue
Shawneeki,72,70,130,Blue
Silver Lakes,72,71.2,129,Blue
Thundering Waters,72,68,131,Blue
Timber Ridge,72,72,143,Blue
Trillium Wood,72,70,135,Blue
University Park,72,69.8,121,White
Wooden Sticks,72,70.9,132,Blue
Woodington Lake,72,70.5,130,Blue